sample,GPSC,merge_history
24861_1#297,1,1
6259_1#4,1,1
17794_4#68,1,1
21999_8#115,1,1
11826_4#23,1,1
13091_1#7,1,1
13091_3#53,1,1
5901_5#8,1,1
16404_7#26,1,1
24977_8#173,1,1
15873_3#18,1,1
24820_2#61,1,1
23430_3#48,1,1
23430_3#34,1,1
6972_4#20,1,1
17794_6#15,1,1
17794_4#43,1,1
28522_3#194,1,1
6570_3#20,1,1
6871_1#8,1,1
32139_2#256,1,1
19647_1#50,1,1
14566_8#75,1,1
15682_4#2,1,1
23430_2#18,1,1
31919_2#152,1,1
19341_3#63,1,1
7335_3#76,1,1
14566_5#47,1,1
6949_1#17,1,1
6730_1#6,1,1
7011_6#1,1,1
6807_2#10,1,1
6925_3#4,1,1
21127_2#174,1,1
18814_2#28,1,1
5366_6#12,1,1
24820_2#113,1,1
14913_6#71,1,1
13091_2#25,1,1
6289_7#22,1,1
24977_8#138,1,1
11658_2#19,1,1
23430_3#41,1,1
5366_3#9,1,1
13091_6#36,1,1
23430_2#101,1,1
27119_1#143,1,1
11826_4#48,1,1
23430_2#62,1,1
6736_6#14,1,1
19647_1#32,1,1
24977_8#65,1,1
27119_1#258,1,1
5366_6#2,1,1
19647_1#83,1,1
17794_5#78,1,1
6925_3#8,1,1
17794_5#65,1,1
13091_1#44,1,1
27119_1#130,1,1
16404_7#23,1,1
16404_7#56,1,1
27119_1#42,1,1
13415_5#65,1,1
6730_8#23,1,1
13154_2#84,1,1
17794_6#10,1,1
5366_3#1,1,1
12291_4#9,1,1
12291_6#85,1,1
5468_2#7,1,1
6710_7#4,1,1
23430_3#140,1,1
31958_2#380,1,1
11826_3#5,1,1
5366_5#2,1,1
17794_4#88,1,1
9221_5#57,1,1
19647_1#18,1,1
19647_1#67,1,1
17794_3#91,1,1
14913_3#94,1,1
6807_2#14,1,1
6925_4#20,1,1
6187_4#15,1,1
27119_1#229,1,1
28516_1#240,1,1
6710_8#16,1,1
24977_8#280,1,1
20925_3#61,1,1
5366_5#10,1,1
24977_8#225,1,1
9803_7#67,1,1
19647_1#56,1,1
6259_2#13,1,1
23204_4#155,1,1
28177_3#338,1,1
11860_1#68,1,1
19341_3#37,1,1
31958_2#163,1,1
5366_5#1,1,1
28522_3#280,1,1
18814_1#48,1,1
5366_3#11,1,1
24861_1#57,1,1
31537_1#373,1,1
7054_4#2,1,1
31537_1#317,1,1
12291_1#11,1,1
12274_6#25,1,1
18090_2#179,1,1
6805_7#7,1,1
11860_1#44,1,1
13154_3#88,1,1
16453_3#12,1,1
24775_1#76,1,1
19646_1#40,1,1
31588_4#79,1,1
12291_4#38,1,1
17175_5#20,1,1
14673_1#81,1,1
11826_3#36,1,1
7011_6#22,1,1
17175_6#18,1,1
6569_5#20,1,1
6736_7#10,1,1
14672_3#10,1,1
15940_3#27,1,1
14673_4#32,1,1
11826_4#6,1,1
19646_1#74,1,1
10868_6#2,1,1
19341_2#74,1,1
24977_8#220,1,1
16399_8#29,1,1
22335_7#22,1,1
19647_1#47,1,1
17794_6#12,1,1
11861_3#33,1,1
17175_5#29,1,1
17794_6#16,1,1
14412_2#65,1,1
18814_2#20,1,1
17794_6#73,1,1
19647_1#68,1,1
15682_1#84,1,1
17794_5#47,1,1
23204_4#2,1,1
6680_7#18,1,1
19084_7#177,1,1
14913_7#70,1,1
23430_3#95,1,1
13091_2#5,1,1
6823_1#18,1,1
17794_4#10,1,1
28042_2#55,1,1
5366_7#3,1,1
10847X25_140926_D00294_0134_AC4P96ANXX_5,1,1
17794_6#39,1,1
23204_4#84,1,1
23430_3#161,1,1
15531_4#78,1,1
7092_6#15,1,1
17794_5#40,1,1
17794_5#69,1,1
16404_7#37,1,1
27119_1#120,1,1
19646_1#48,1,1
24977_8#164,1,1
11826_3#45,1,1
10754X163_140620_D00294_0106_AC4FB4ANXX_6,1,1
6259_1#2,1,1
6807_2#16,1,1
24977_8#250,1,1
18814_2#2,1,1
15682_5#4,1,1
22114_6#42,1,1
17794_8#138,1,1
28177_3#139,1,1
6755_6#19,1,1
12291_6#13,1,1
15873_6#63,1,1
13091_4#83,1,1
14566_6#44,1,1
17794_5#10,1,1
6289_8#3,1,1
12291_3#48,1,1
13091_2#9,1,1
13091_2#35,1,1
6983_7#66,1,1
24820_2#22,1,1
23204_4#158,1,1
7001_3#8,1,1
24977_8#95,1,1
18787_3#9,1,1
24977_8#269,1,1
24977_8#33,1,1
6680_4#23,1,1
6823_5#24,1,1
6775_1#3,1,1
12291_4#16,1,1
34746_4#376,1,1
15682_4#27,1,1
17794_4#77,1,1
18090_2#64,1,1
12291_4#33,1,1
11826_3#12,1,1
11826_3#13,1,1
11893_8#15,1,1
23430_2#91,1,1
14673_2#57,1,1
14410_7#45,1,1
11826_3#91,1,1
12299_2#74,1,1
7054_5#18,1,1
17794_6#25,1,1
10868_6#15,1,1
11826_3#33,1,1
16404_7#29,1,1
6823_3#3,1,1
24775_1#61,1,1
18814_1#22,1,1
6731_3#14,1,1
9221_3#81,1,1
12291_2#44,1,1
28522_3#56,1,1
13091_1#9,1,1
7001_1#21,1,1
12274_6#39,1,1
12274_5#63,1,1
11826_3#17,1,1
28420_2#169,1,1
12274_5#84,1,1
24977_8#57,1,1
28177_3#111,1,1
28042_2#80,1,1
18814_1#27,1,1
16404_7#31,1,1
32820_2#196,1,1
24977_8#81,1,1
6259_3#3,1,1
28522_3#174,1,1
24977_8#273,1,1
23204_4#173,1,1
19646_1#43,1,1
12378_4#5,1,1
18814_2#40,1,1
24977_8#154,1,1
23204_4#153,1,1
31958_2#195,1,1
14520_7#80,1,1
31664_1#129,1,1
7038_8#42,1,1
23430_1#160,1,1
11657_4#96,1,1
18090_2#60,1,1
15608_2#38,1,1
17794_5#59,1,1
6259_3#8,1,1
6952_4#21,1,1
23430_1#165,1,1
34746_4#247,1,1
17794_3#51,1,1
